Aasiaat+Sem/Geo+Prop+Abl+Pl	Aasiannit
Aasiaat+Sem/Geo+Prop+MIU+Sem/Hnat+LIRI+Sem/work+GUSUP+Sem/wish+TAR+GALUAR+V+Ind+1Sg	Aasiammiulererusuttaraluarpunga
Aasiaat+Sem/Geo+Prop+MIU+Sem/Hnat+LIRI+Sem/work+GUSUP+Sem/wish+TAR+GALUAR+V+Ind+3Sg	Aasiammiulererusuttaraluarpoq
Aasiaat+Sem/Geo+Prop+MIU+Sem/Hnat+LIRI+Sem/work+GUSUP+Sem/wish+TAR+GALUAR+V+Int+2Sg	Aasiammiulererusuttaraluarpit
Aasiaat+Sem/Geo+Prop+MIU+Sem/Hnat+LIRI+Sem/work+GUSUP+Sem/wish+TAR+GALUAR+V+Par+1Sg	Aasiammiulererusuttaraluartunga
Aasiaat+Sem/Geo+Prop+MIU+Sem/Hnat+LIRI+Sem/work+GUSUP+Sem/wish+TAR+GALUAR+V+Par+2Sg	Aasiammiulererusuttaraluartutit
Aasiaat+Sem/Geo+Prop+MIU+Sem/Hnat+LIRI+Sem/work+GUSUP+Sem/wish+TAR+GALUAR+V+Par+3Sg	Aasiammiulererusuttaraluartoq
Aasiaat+Sem/Geo+Prop+MIU+Sem/Hnat+LIRI+Sem/work+GUSUP+Sem/wish+TAR+NNGIT+GALUAR+V+Ind+1Pl	Aasiammiulererusuttanngikkaluarpugut
Aasiaat+Sem/Geo+Prop+MIU+Sem/Hnat+LIRI+Sem/work+GUSUP+Sem/wish+TAR+NNGIT+GALUAR+V+Ind+1Sg	Aasiammiulererusuttanngikkaluarpunga
Aasiaat+Sem/Geo+Prop+MIU+Sem/Hnat+LIRI+Sem/work+GUSUP+Sem/wish+TAR+NNGIT+GALUAR+V+Ind+3Sg	Aasiammiulererusuttanngikkaluarpoq
Aasiaat+Sem/Geo+Prop+MIU+Sem/Hnat+LIRI+Sem/work+GUSUP+Sem/wish+TAR+NNGIT+GALUAR+V+Int+2Sg	Aasiammiulererusuttanngikkaluarpit
Aasiaat+Sem/Geo+Prop+MIU+Sem/Hnat+LIRI+Sem/work+GUSUP+Sem/wish+TAR+NNGIT+GALUAR+V+Par+1Sg	Aasiammiulererusuttanngikkaluartunga
Aasiaat+Sem/Geo+Prop+MIU+Sem/Hnat+LIRI+Sem/work+GUSUP+Sem/wish+TAR+NNGIT+GALUAR+V+Par+2Sg	Aasiammiulererusuttanngikkaluartutit
Aasiaat+Sem/Geo+Prop+MIU+Sem/Hnat+LIRI+Sem/work+GUSUP+Sem/wish+TAR+NNGIT+GALUAR+V+Par+3Sg	Aasiammiulererusuttanngikkaluartoq
Aasiaat+Sem/Geo+Prop+MIU+Sem/Hnat+LIRI+Sem/work+GUSUP+Sem/wish+TAR+NNGIT+V+Ind+1Pl	Aasiammiulererusuttanngilagut
Aasiaat+Sem/Geo+Prop+MIU+Sem/Hnat+LIRI+Sem/work+GUSUP+Sem/wish+TAR+NNGIT+V+Ind+1Sg	Aasiammiulererusuttanngilanga
Aasiaat+Sem/Geo+Prop+MIU+Sem/Hnat+LIRI+Sem/work+GUSUP+Sem/wish+TAR+NNGIT+V+Ind+3Sg	Aasiammiulererusuttanngilaq
Aasiaat+Sem/Geo+Prop+MIU+Sem/Hnat+LIRI+Sem/work+GUSUP+Sem/wish+TAR+NNGIT+V+Int+2Sg	Aasiammiulererusuttanngilatit
Aasiaat+Sem/Geo+Prop+MIU+Sem/Hnat+LIRI+Sem/work+GUSUP+Sem/wish+TAR+NNGIT+V+Par+1Sg	Aasiammiulererusuttanngitsunga
Aasiaat+Sem/Geo+Prop+MIU+Sem/Hnat+LIRI+Sem/work+GUSUP+Sem/wish+TAR+NNGIT+V+Par+1Sg+LI	Aasiammiulererusuttanngitsungali
Aasiaat+Sem/Geo+Prop+MIU+Sem/Hnat+LIRI+Sem/work+GUSUP+Sem/wish+TAR+NNGIT+V+Par+1Sg+LU	Aasiammiulererusuttanngitsungalu
Aasiaat+Sem/Geo+Prop+MIU+Sem/Hnat+LIRI+Sem/work+GUSUP+Sem/wish+TAR+NNGIT+V+Par+2Sg	Aasiammiulererusuttanngitsutit
Aasiaat+Sem/Geo+Prop+MIU+Sem/Hnat+LIRI+Sem/work+GUSUP+Sem/wish+TAR+NNGIT+V+Par+2Sg+LI	Aasiammiulererusuttanngitsutilli
Aasiaat+Sem/Geo+Prop+MIU+Sem/Hnat+LIRI+Sem/work+GUSUP+Sem/wish+TAR+NNGIT+V+Par+2Sg+LU	Aasiammiulererusuttanngitsutillu
Aasiaat+Sem/Geo+Prop+MIU+Sem/Hnat+LIRI+Sem/work+GUSUP+Sem/wish+TAR+NNGIT+V+Par+3Sg	Aasiammiulererusuttanngitsoq
Aasiaat+Sem/Geo+Prop+MIU+Sem/Hnat+LIRI+Sem/work+GUSUP+Sem/wish+TAR+NNGIT+V+Par+3Sg+LI	Aasiammiulererusuttanngitsorli
Aasiaat+Sem/Geo+Prop+MIU+Sem/Hnat+LIRI+Sem/work+GUSUP+Sem/wish+TAR+NNGIT+V+Par+3Sg+LU	Aasiammiulererusuttanngitsorlu
Aasiaat+Sem/Geo+Prop+MIU+Sem/Hnat+LIRI+Sem/work+GUSUP+Sem/wish+TAR+SSA+V+Ind+1Pl	Aasiammiulererusuttassaagut
Aasiaat+Sem/Geo+Prop+MIU+Sem/Hnat+LIRI+Sem/work+GUSUP+Sem/wish+TAR+SSA+V+Ind+1Sg	Aasiammiulererusuttassaanga
Aasiaat+Sem/Geo+Prop+MIU+Sem/Hnat+LIRI+Sem/work+GUSUP+Sem/wish+TAR+SSA+V+Ind+3Sg	Aasiammiulererusuttassaaq
Aasiaat+Sem/Geo+Prop+MIU+Sem/Hnat+LIRI+Sem/work+GUSUP+Sem/wish+TAR+SSA+V+Int+2Sg	Aasiammiulererusuttassavit
Aasiaat+Sem/Geo+Prop+MIU+Sem/Hnat+LIRI+Sem/work+GUSUP+Sem/wish+TAR+SSA+V+Par+1Sg	Aasiammiulererusuttassasunga
Aasiaat+Sem/Geo+Prop+MIU+Sem/Hnat+LIRI+Sem/work+GUSUP+Sem/wish+TAR+SSA+V+Par+1Sg+LI	Aasiammiulererusuttassasungali
Aasiaat+Sem/Geo+Prop+MIU+Sem/Hnat+LIRI+Sem/work+GUSUP+Sem/wish+TAR+SSA+V+Par+1Sg+LU	Aasiammiulererusuttassasungalu
Aasiaat+Sem/Geo+Prop+MIU+Sem/Hnat+LIRI+Sem/work+GUSUP+Sem/wish+TAR+SSA+V+Par+2Sg	Aasiammiulererusuttassasutit
Aasiaat+Sem/Geo+Prop+MIU+Sem/Hnat+LIRI+Sem/work+GUSUP+Sem/wish+TAR+SSA+V+Par+2Sg+LI	Aasiammiulererusuttassasutilli
Aasiaat+Sem/Geo+Prop+MIU+Sem/Hnat+LIRI+Sem/work+GUSUP+Sem/wish+TAR+SSA+V+Par+2Sg+LU	Aasiammiulererusuttassasutillu
Aasiaat+Sem/Geo+Prop+MIU+Sem/Hnat+LIRI+Sem/work+GUSUP+Sem/wish+TAR+SSA+V+Par+3Sg	Aasiammiulererusuttassasoq
Aasiaat+Sem/Geo+Prop+MIU+Sem/Hnat+LIRI+Sem/work+GUSUP+Sem/wish+TAR+SSA+V+Par+3Sg+LI	Aasiammiulererusuttassasorli
Aasiaat+Sem/Geo+Prop+MIU+Sem/Hnat+LIRI+Sem/work+GUSUP+Sem/wish+TAR+SSA+V+Par+3Sg+LU	Aasiammiulererusuttassasorlu
Aasiaat+Sem/Geo+Prop+MIU+Sem/Hnat+LIRI+Sem/work+GUSUP+Sem/wish+TAR+V+Ind+1Pl	Aasiammiulererusuttarpugut
Aasiaat+Sem/Geo+Prop+MIU+Sem/Hnat+LIRI+Sem/work+GUSUP+Sem/wish+TAR+V+Ind+1Sg	Aasiammiulererusuttarpunga
Aasiaat+Sem/Geo+Prop+MIU+Sem/Hnat+LIRI+Sem/work+GUSUP+Sem/wish+TAR+V+Ind+3Sg	Aasiammiulererusuttarpoq
Aasiaat+Sem/Geo+Prop+MIU+Sem/Hnat+LIRI+Sem/work+GUSUP+Sem/wish+TAR+V+Int+2Sg	Aasiammiulererusuttarpit
Aasiaat+Sem/Geo+Prop+MIU+Sem/Hnat+LIRI+Sem/work+GUSUP+Sem/wish+TAR+V+Par+1Sg	Aasiammiulererusuttartunga
Aasiaat+Sem/Geo+Prop+MIU+Sem/Hnat+LIRI+Sem/work+GUSUP+Sem/wish+TAR+V+Par+2Sg	Aasiammiulererusuttartutit
Aasiaat+Sem/Geo+Prop+MIU+Sem/Hnat+LIRI+Sem/work+GUSUP+Sem/wish+TAR+V+Par+3Sg	Aasiammiulererusuttartoq
Aasiaat+Sem/Geo+Prop+MIU+Sem/Hnat+LIRI+Sem/work+GUSUP+Sem/wish+V+Ind+1Pl	Aasiammiulererusuppugut
Aasiaat+Sem/Geo+Prop+MIU+Sem/Hnat+LIRI+Sem/work+GUSUP+Sem/wish+V+Ind+1Sg	Aasiammiulererusuppunga
Aasiaat+Sem/Geo+Prop+MIU+Sem/Hnat+LIRI+Sem/work+GUSUP+Sem/wish+V+Ind+3Sg	Aasiammiulererusuppoq
Aasiaat+Sem/Geo+Prop+MIU+Sem/Hnat+LIRI+Sem/work+GUSUP+Sem/wish+V+Int+2Sg	Aasiammiulererusuppit
Aasiaat+Sem/Geo+Prop+MIU+Sem/Hnat+LIRI+Sem/work+GUSUP+Sem/wish+V+Par+1Sg	Aasiammiulererusuttunga
Aasiaat+Sem/Geo+Prop+MIU+Sem/Hnat+LIRI+Sem/work+GUSUP+Sem/wish+V+Par+2Sg	Aasiammiulererusuttutit
Aasiaat+Sem/Geo+Prop+MIU+Sem/Hnat+LIRI+Sem/work+GUSUP+Sem/wish+V+Par+3Sg	Aasiammiulererusuttoq
Aasiaat+Sem/Geo+Prop+MIU+Sem/Hnat+LIRI+Sem/work+NNGIT+GALUAR+V+Ind+1Pl	Aasiammiulerinngikkaluarpugut
Aasiaat+Sem/Geo+Prop+MIU+Sem/Hnat+LIRI+Sem/work+NNGIT+GALUAR+V+Ind+1Sg	Aasiammiulerinngikkaluarpunga
Aasiaat+Sem/Geo+Prop+MIU+Sem/Hnat+LIRI+Sem/work+NNGIT+GALUAR+V+Ind+3Sg	Aasiammiulerinngikkaluarpoq
Aasiaat+Sem/Geo+Prop+MIU+Sem/Hnat+LIRI+Sem/work+NNGIT+GALUAR+V+Int+2Sg	Aasiammiulerinngikkaluarpit
Aasiaat+Sem/Geo+Prop+MIU+Sem/Hnat+LIRI+Sem/work+NNGIT+GALUAR+V+Par+1Sg	Aasiammiulerinngikkaluartunga
Aasiaat+Sem/Geo+Prop+MIU+Sem/Hnat+LIRI+Sem/work+NNGIT+GALUAR+V+Par+2Sg	Aasiammiulerinngikkaluartutit
Aasiaat+Sem/Geo+Prop+MIU+Sem/Hnat+LIRI+Sem/work+NNGIT+GALUAR+V+Par+3Sg	Aasiammiulerinngikkaluartoq
Aasiaat+Sem/Geo+Prop+MIU+Sem/Hnat+LIRI+Sem/work+NNGIT+V+Ind+1Pl	Aasiammiulerinngilagut
Aasiaat+Sem/Geo+Prop+MIU+Sem/Hnat+LIRI+Sem/work+NNGIT+V+Ind+1Sg	Aasiammiulerinngilanga
Aasiaat+Sem/Geo+Prop+MIU+Sem/Hnat+LIRI+Sem/work+NNGIT+V+Ind+3Sg	Aasiammiulerinngilaq
Aasiaat+Sem/Geo+Prop+MIU+Sem/Hnat+LIRI+Sem/work+NNGIT+V+Int+2Sg	Aasiammiulerinngilatit
Aasiaat+Sem/Geo+Prop+MIU+Sem/Hnat+LIRI+Sem/work+NNGIT+V+Par+1Sg	Aasiammiulerinngitsunga
Aasiaat+Sem/Geo+Prop+MIU+Sem/Hnat+LIRI+Sem/work+NNGIT+V+Par+1Sg+LI	Aasiammiulerinngitsungali
Aasiaat+Sem/Geo+Prop+MIU+Sem/Hnat+LIRI+Sem/work+NNGIT+V+Par+1Sg+LU	Aasiammiulerinngitsungalu
Aasiaat+Sem/Geo+Prop+MIU+Sem/Hnat+LIRI+Sem/work+NNGIT+V+Par+2Sg	Aasiammiulerinngitsutit
Aasiaat+Sem/Geo+Prop+MIU+Sem/Hnat+LIRI+Sem/work+NNGIT+V+Par+2Sg+LI	Aasiammiulerinngitsutilli
Aasiaat+Sem/Geo+Prop+MIU+Sem/Hnat+LIRI+Sem/work+NNGIT+V+Par+2Sg+LU	Aasiammiulerinngitsutillu
Aasiaat+Sem/Geo+Prop+MIU+Sem/Hnat+LIRI+Sem/work+NNGIT+V+Par+3Sg	Aasiammiulerinngitsoq
Aasiaat+Sem/Geo+Prop+MIU+Sem/Hnat+LIRI+Sem/work+NNGIT+V+Par+3Sg+LI	Aasiammiulerinngitsorli
Aasiaat+Sem/Geo+Prop+MIU+Sem/Hnat+LIRI+Sem/work+NNGIT+V+Par+3Sg+LU	Aasiammiulerinngitsorlu
Aasiaat+Sem/Geo+Prop+MIU+Sem/Hnat+LIRI+Sem/work+SSA+GALUAR+V+Ind+1Pl	Aasiammiulerissagaluarpugut
Aasiaat+Sem/Geo+Prop+MIU+Sem/Hnat+LIRI+Sem/work+SSA+GALUAR+V+Ind+1Sg	Aasiammiulerissagaluarpunga
Aasiaat+Sem/Geo+Prop+MIU+Sem/Hnat+LIRI+Sem/work+SSA+GALUAR+V+Ind+3Sg	Aasiammiulerissagaluarpoq
Aasiaat+Sem/Geo+Prop+MIU+Sem/Hnat+LIRI+Sem/work+SSA+GALUAR+V+Int+2Sg	Aasiammiulerissagaluarpit
Aasiaat+Sem/Geo+Prop+MIU+Sem/Hnat+LIRI+Sem/work+SSA+GALUAR+V+Par+1Sg	Aasiammiulerissagaluartunga
Aasiaat+Sem/Geo+Prop+MIU+Sem/Hnat+LIRI+Sem/work+SSA+GALUAR+V+Par+2Sg	Aasiammiulerissagaluartutit
Aasiaat+Sem/Geo+Prop+MIU+Sem/Hnat+LIRI+Sem/work+SSA+GALUAR+V+Par+3Sg	Aasiammiulerissagaluartoq
Aasiaat+Sem/Geo+Prop+MIU+Sem/Hnat+LIRI+Sem/work+SSA+V+Ind+1Pl	Aasiammiulerissaagut
Aasiaat+Sem/Geo+Prop+MIU+Sem/Hnat+LIRI+Sem/work+SSA+V+Ind+1Sg	Aasiammiulerissaanga
Aasiaat+Sem/Geo+Prop+MIU+Sem/Hnat+LIRI+Sem/work+SSA+V+Ind+3Sg	Aasiammiulerissaaq
Aasiaat+Sem/Geo+Prop+MIU+Sem/Hnat+LIRI+Sem/work+SSA+V+Int+2Sg	Aasiammiulerissavit
Aasiaat+Sem/Geo+Prop+MIU+Sem/Hnat+LIRI+Sem/work+SSA+V+Par+1Sg	Aasiammiulerissasunga
Aasiaat+Sem/Geo+Prop+MIU+Sem/Hnat+LIRI+Sem/work+SSA+V+Par+1Sg+LI	Aasiammiulerissasungali
Aasiaat+Sem/Geo+Prop+MIU+Sem/Hnat+LIRI+Sem/work+SSA+V+Par+1Sg+LU	Aasiammiulerissasungalu
Aasiaat+Sem/Geo+Prop+MIU+Sem/Hnat+LIRI+Sem/work+SSA+V+Par+2Sg	Aasiammiulerissasutit
Aasiaat+Sem/Geo+Prop+MIU+Sem/Hnat+LIRI+Sem/work+SSA+V+Par+2Sg+LI	Aasiammiulerissasutilli
Aasiaat+Sem/Geo+Prop+MIU+Sem/Hnat+LIRI+Sem/work+SSA+V+Par+2Sg+LU	Aasiammiulerissasutillu
Aasiaat+Sem/Geo+Prop+MIU+Sem/Hnat+LIRI+Sem/work+SSA+V+Par+3Sg	Aasiammiulerissasoq
Aasiaat+Sem/Geo+Prop+MIU+Sem/Hnat+LIRI+Sem/work+SSA+V+Par+3Sg+LI	Aasiammiulerissasorli
Aasiaat+Sem/Geo+Prop+MIU+Sem/Hnat+LIRI+Sem/work+SSA+V+Par+3Sg+LU	Aasiammiulerissasorlu
Aasiaat+Sem/Geo+Prop+MIU+Sem/Hnat+LIRI+Sem/work+TAR+GALUAR+V+Ind+1Pl	Aasiammiulerisaraluarpugut
Aasiaat+Sem/Geo+Prop+MIU+Sem/Hnat+LIRI+Sem/work+TAR+GALUAR+V+Ind+1Sg	Aasiammiulerisaraluarpunga
Aasiaat+Sem/Geo+Prop+MIU+Sem/Hnat+LIRI+Sem/work+TAR+GALUAR+V+Ind+3Sg	Aasiammiulerisaraluarpoq
Aasiaat+Sem/Geo+Prop+MIU+Sem/Hnat+LIRI+Sem/work+TAR+GALUAR+V+Int+2Sg	Aasiammiulerisaraluarpit
Aasiaat+Sem/Geo+Prop+MIU+Sem/Hnat+LIRI+Sem/work+TAR+GALUAR+V+Par+1Sg	Aasiammiulerisaraluartunga
Aasiaat+Sem/Geo+Prop+MIU+Sem/Hnat+LIRI+Sem/work+TAR+GALUAR+V+Par+2Sg	Aasiammiulerisaraluartutit
Aasiaat+Sem/Geo+Prop+MIU+Sem/Hnat+LIRI+Sem/work+TAR+GALUAR+V+Par+3Sg	Aasiammiulerisaraluartoq
Aasiaat+Sem/Geo+Prop+MIU+Sem/Hnat+LIRI+Sem/work+TAR+NNGIT+GALUAR+V+Ind+1Pl	Aasiammiulerisanngikkaluarpugut
Aasiaat+Sem/Geo+Prop+MIU+Sem/Hnat+LIRI+Sem/work+TAR+NNGIT+GALUAR+V+Ind+1Sg	Aasiammiulerisanngikkaluarpunga
